age,income,credit_score,loan_amount,debt_to_income_pct,num_dependents,years_employed,account_balance,num_prev_loans,monthly_expenses,gender,employment_status,education_level,loan_purpose,region,marital_status,application_year,loan_duration_months,application_date,loan_default
63,56716.16,776,6940.74,11.59,2.0,1.1,1669.8,7,12920.91,Male,Self-Employed,PhD,Education,East,Single,2021,60,2021-10-22,0
42,20638.29,489,13362.0,10.14,5.0,7.1,35465.77,9,4482.89,Female,Unemployed,Bachelor,Car,North,,2022,36,2022-09-25,0
57,34172.34,623,27065.02,22.05,2.0,,3257.45,5,11445.3,Male,Retired,,Home,West,Single,2011,60,2011-04-03,0
50,65447.31,481,35718.4,37.46,3.0,3.3,4018.62,5,,Male,Full-Time,Master,Education,North,Single,2011,60,2011-01-06,1
45,16345.38,732,7329.5,26.88,4.0,3.1,734.84,8,3772.05,Female,Full-Time,High School,Car,North,Married,2010,12,2010-01-05,0
73,129343.3,819,94027.32,24.36,,1.0,2756.16,4,23113.57,Male,Part-Time,Master,Education,West,Single,2022,48,2022-04-18,1
70,114650.97,559,10308.0,11.42,3.0,16.7,2908.54,2,25353.56,Male,Part-Time,High School,Personal,Central,Single,2021,24,2021-03-24,0
53,98116.04,811,4705.36,29.24,4.0,6.7,1806.59,9,19893.74,Female,Full-Time,Master,Car,North,Married,2016,60,2016-09-03,0
70,100981.24,800,7539.15,7.4,2.0,0.8,1869.83,5,38062.55,Female,Full-Time,Master,Home,West,Single,2015,36,2015-02-22,0
28,129432.82,564,14171.01,35.17,2.0,1.7,,6,,Female,Part-Time,PhD,Home,North,Married,2024,12,2024-09-11,1
21,64824.71,729,25009.63,27.94,4.0,1.7,,0,17313.56,Female,Unemployed,Bachelor,Home,East,Single,2017,60,2017-06-18,0
64,,721,15437.59,46.7,1.0,2.7,5695.54,8,18959.29,Female,Full-Time,PhD,Personal,Central,Married,2018,36,2018-10-04,1
31,18478.66,757,6961.7,36.46,0.0,23.3,1843.88,1,3289.79,Female,Full-Time,High School,Medical,West,Single,2018,84,2018-09-07,0
40,32690.61,554,30087.92,30.06,,0.2,2580.39,7,11861.13,Male,Part-Time,Bachelor,Education,Central,Married,2010,24,2010-03-08,1
47,35156.66,392,9086.89,48.5,3.0,0.8,583.04,6,12120.87,Female,Full-Time,,Home,East,Single,2020,84,2020-09-06,1
41,18571.18,850,25213.46,48.17,6.0,3.0,5406.96,1,4036.52,Male,Full-Time,Bachelor,Education,Central,Married,2023,60,2023-09-26,1
48,,802,70558.15,20.65,0.0,1.8,1022.19,8,21130.37,Female,Full-Time,High School,Car,South,Married,2016,36,2016-02-07,1
46,9924.9,509,8526.56,19.79,,2.5,1620.57,3,2319.34,Male,Retired,Master,Education,North,Married,2013,12,2013-06-24,1
44,51090.38,521,9413.28,20.5,,4.0,5318.71,5,9595.9,Male,Full-Time,Bachelor,Personal,West,Single,2018,84,2018-05-20,1
72,123391.07,710,22096.69,51.08,5.0,10.2,3301.84,3,28813.06,Female,Retired,,Car,East,Married,2018,60,2018-12-02,1
24,57727.77,618,8908.47,34.48,4.0,2.7,1134.57,6,10492.98,Male,Self-Employed,,Medical,West,Single,2019,36,2019-05-25,0
64,91876.38,659,10922.79,61.96,2.0,4.1,17366.87,1,23319.79,Male,Full-Time,Bachelor,Home,East,Married,2015,60,2015-02-21,0
61,47441.96,643,17100.27,57.07,6.0,13.6,3231.88,5,8744.53,Female,Part-Time,Bachelor,Personal,West,,2019,36,2019-05-01,1
33,25338.41,637,30184.5,31.5,,5.8,4683.3,2,7563.75,Male,Retired,Bachelor,Business,East,Married,2019,84,2019-12-01,0
26,22571.8,719,23196.41,75.95,2.0,6.1,2048.74,1,4028.84,Male,Unemployed,,Business,Central,Divorced,2010,48,2010-06-09,0
53,62609.72,781,10151.76,25.7,4.0,21.7,10977.27,5,23161.47,Female,Retired,,Home,East,Married,2018,60,2018-02-24,0
31,66055.83,740,9971.56,36.79,1.0,0.3,8408.77,1,17689.85,Male,Unemployed,Bachelor,Education,Central,Married,2018,36,2018-06-11,0
58,21562.37,732,18240.04,42.0,,3.0,,3,3769.14,Female,Part-Time,PhD,Home,North,,2014,36,2014-12-22,1
27,69230.78,540,38783.92,45.43,5.0,,7240.48,2,19297.61,Male,Full-Time,High School,Business,South,Widowed,2010,48,2010-02-04,1
63,20772.52,665,17636.91,34.66,1.0,7.1,33240.03,9,4235.69,Male,Self-Employed,Master,Home,Central,,2013,60,2013-04-19,0
44,105560.12,543,10659.39,26.6,1.0,,,7,41798.96,Female,Full-Time,PhD,Home,West,Single,2013,60,2013-03-14,1
20,72198.52,652,6317.98,29.94,1.0,0.0,531.44,9,25762.45,Female,Self-Employed,Bachelor,Car,North,Married,2019,60,2019-12-11,0
32,316778.65,570,5827.16,33.84,6.0,,14310.57,8,117954.36,Female,Full-Time,Bachelor,Medical,North,Married,2020,60,2020-05-10,0
35,150390.56,759,46390.78,45.02,1.0,0.6,35757.52,5,25152.28,Female,Full-Time,,Home,North,Single,2014,60,2014-05-27,1
42,46745.61,491,23606.81,24.2,3.0,1.7,1632.98,9,11126.51,Male,Full-Time,High School,Business,North,Divorced,2014,60,2014-11-01,1
51,24017.32,618,3129.04,52.98,0.0,2.6,2421.93,9,4501.19,Female,Full-Time,High School,Car,Central,Married,2010,84,2010-03-03,1
18,41434.32,700,14304.21,20.23,3.0,2.7,6652.26,2,8609.0,Female,Self-Employed,High School,Medical,East,Single,2021,12,2021-08-21,0
18,29947.63,402,8680.58,9.86,5.0,2.7,,3,10066.82,Female,Unemployed,High School,Medical,South,Single,2024,48,2024-03-12,1
35,46600.66,626,15263.38,40.33,6.0,1.4,2941.57,2,13854.0,Non-Binary,Full-Time,Bachelor,Medical,Central,Divorced,2024,36,2024-01-19,1
34,72389.47,743,59697.31,41.02,2.0,3.7,31486.45,9,14993.3,Male,Unemployed,High School,Business,North,,2018,36,2018-02-26,0
41,109886.52,704,20219.91,48.17,6.0,5.9,4669.36,4,19565.63,Male,Self-Employed,High School,Home,Central,Single,2016,36,2016-12-20,0
32,60068.07,562,15163.57,54.32,1.0,10.1,1352.31,4,11444.75,Male,Full-Time,Master,Personal,North,Married,2011,36,2011-08-06,1
51,43058.03,720,2870.64,1.9,2.0,1.1,1581.32,7,9110.94,Male,Full-Time,High School,Education,West,Married,2024,60,2024-06-24,0
22,116111.79,580,35696.9,15.7,,2.8,17964.38,3,31232.84,Female,Full-Time,High School,Home,West,Divorced,2024,60,2024-03-09,1
34,250654.55,850,20855.63,21.44,2.0,8.0,28852.65,3,67500.45,Male,Full-Time,High School,Medical,North,Married,2014,12,2014-02-17,0
53,,683,25771.91,30.45,,1.7,1111.24,1,10148.99,Male,Self-Employed,High School,Personal,West,Married,2021,60,2021-10-13,0
41,14912.84,560,17477.32,29.31,1.0,1.1,,5,,Female,Self-Employed,Master,Car,South,Married,2012,48,2012-11-01,1
52,111397.7,693,34130.35,31.59,0.0,20.5,2846.35,3,23844.26,Male,Retired,,Car,Central,Single,2011,48,2011-10-28,0
71,51474.16,594,11206.15,18.97,3.0,9.2,11441.8,2,15546.64,Female,Self-Employed,Master,Education,Central,Divorced,2013,48,2013-12-18,0
33,35376.79,679,13732.46,11.26,1.0,5.6,16957.74,1,8511.56,Female,Full-Time,High School,Medical,East,Divorced,2013,36,2013-12-14,0
27,47789.53,545,4750.69,1.18,2.0,1.8,1111.83,2,8407.46,Non-Binary,Self-Employed,High School,Medical,East,,2019,24,2019-02-02,1
72,34393.66,468,13894.49,35.16,,7.4,8633.1,6,5890.69,Male,Self-Employed,Master,Car,Central,Single,2022,24,2022-09-20,1
36,,694,11861.91,37.65,1.0,5.0,10070.34,6,3796.71,Male,Part-Time,High School,Home,North,Single,2021,36,2021-08-06,0
31,56307.82,681,14599.88,6.55,,4.5,,9,14992.63,Female,Part-Time,Master,Car,North,Married,2014,84,2014-08-06,0
36,38711.96,812,17209.0,42.7,3.0,9.5,797.06,9,9326.37,Female,Self-Employed,,Personal,West,Married,2024,60,2024-03-04,0
30,18383.9,582,9867.83,31.42,6.0,,1711.16,5,3442.89,Male,Full-Time,Master,Car,South,Married,2015,48,2015-08-24,0
43,35713.35,678,3989.48,6.59,5.0,0.8,67420.13,4,13804.72,Male,Retired,Master,Home,North,Married,2013,36,2013-10-07,0
29,28925.81,653,7211.48,12.55,5.0,2.4,1218.35,2,5674.58,Male,Full-Time,High School,Car,West,Single,2013,12,2013-09-03,0
52,68598.28,562,12163.06,18.94,0.0,1.9,4359.92,2,13753.44,Male,Retired,Bachelor,Education,North,Married,2016,60,2016-09-04,1
57,85034.46,636,22246.69,1.53,3.0,7.2,7179.42,4,17510.96,Male,Full-Time,High School,Education,South,Single,2022,60,2022-02-04,1
48,,850,2410.03,33.94,4.0,12.4,4645.85,3,26908.18,Male,Part-Time,Master,Home,North,Married,2019,48,2019-12-24,0
50,31605.4,656,11852.74,14.56,3.0,,5590.89,9,6829.54,Male,Full-Time,Master,Car,Central,Divorced,2010,36,2010-04-18,0
55,69851.35,543,4383.55,54.94,0.0,1.4,,8,13356.78,Female,Self-Employed,,Car,East,Single,2012,36,2012-07-16,1
42,111055.34,654,19486.73,31.02,4.0,3.1,4047.78,0,19141.02,Male,Full-Time,High School,Medical,Central,Single,2021,12,2021-06-23,0
23,49421.77,787,33186.8,1.85,0.0,10.4,17014.61,1,10486.95,Male,Full-Time,PhD,Medical,South,,2022,24,2022-06-13,0
45,36651.82,745,33828.04,21.75,6.0,1.6,,5,9353.08,Male,Full-Time,Bachelor,Education,South,Married,2022,48,2022-04-28,1
59,73391.64,581,2555.67,13.13,0.0,11.3,4539.41,6,12459.9,Male,Self-Employed,Bachelor,Car,North,Married,2015,36,2015-07-05,0
43,103577.88,563,37515.68,19.96,2.0,1.7,1408.27,9,22655.68,Female,Retired,High School,Car,North,,2020,60,2020-12-05,1
21,33457.8,685,14986.68,23.43,1.0,0.8,29497.82,2,6357.61,Male,Full-Time,Bachelor,Personal,North,Single,2023,36,2023-06-07,1
62,29073.55,562,28732.36,56.73,2.0,8.8,5540.43,8,9001.74,Female,Retired,High School,Home,South,Single,2016,36,2016-08-25,1
48,27570.28,590,19903.94,52.44,3.0,0.2,35079.73,6,6549.55,Male,Full-Time,Master,Home,West,Single,2024,36,2024-12-08,1
55,66219.52,801,123431.82,16.76,3.0,4.2,6781.67,2,12212.74,Female,Full-Time,High School,Medical,West,Married,2013,60,2013-10-17,1
74,24293.39,631,8205.15,15.43,5.0,1.4,,3,8669.81,Male,Part-Time,Master,Business,North,,2012,48,2012-02-01,1
30,98238.46,828,16919.3,31.99,3.0,0.9,1078.5,8,20437.79,Female,Full-Time,High School,Personal,South,Single,2020,60,2020-01-21,0
34,51272.97,633,70050.32,44.18,6.0,2.1,418.46,4,9269.68,Female,Full-Time,,Medical,East,Married,2014,36,2014-02-17,1
65,105444.77,576,23257.0,60.18,2.0,14.5,33696.13,1,21035.73,Male,Full-Time,Bachelor,Car,West,Divorced,2022,48,2022-01-03,1
52,43770.64,560,8572.95,5.33,1.0,6.3,1338.27,3,9442.7,Male,Full-Time,,Home,West,Divorced,2011,48,2011-04-08,1
45,98592.15,648,4774.84,16.62,3.0,9.5,705.45,8,,Female,Full-Time,,Home,Central,,2018,48,2018-12-05,0
22,55526.31,703,8774.49,22.12,,1.8,6115.32,8,9842.53,Female,Retired,,Medical,East,Divorced,2023,48,2023-03-19,0
74,109893.36,534,20050.33,22.88,3.0,2.3,8794.01,3,35840.78,Female,Full-Time,,Car,Central,Widowed,2016,60,2016-05-15,1
70,55840.39,678,11274.15,43.13,0.0,1.5,1071.52,2,15733.84,Female,Full-Time,Master,Car,North,Married,2022,36,2022-04-02,0
42,32016.15,512,18950.22,46.28,2.0,15.3,2046.18,9,8756.84,Male,Full-Time,Bachelor,Personal,West,Married,2016,84,2016-11-22,1
64,38215.77,696,3025.27,35.98,3.0,,7982.07,3,10089.83,Female,Part-Time,High School,Personal,East,Married,2014,60,2014-10-18,0
40,46857.85,555,15432.52,7.77,1.0,16.0,2306.0,2,8912.56,Male,Self-Employed,Bachelor,Home,West,Single,2021,48,2021-09-01,0
59,39014.75,577,2834.85,3.31,4.0,0.9,1557.97,2,6754.93,Male,Part-Time,High School,Personal,East,Single,2023,60,2023-08-15,1
63,18926.04,603,5500.35,3.31,3.0,1.8,2619.16,8,5983.47,Male,Full-Time,PhD,Car,East,Married,2012,36,2012-08-09,1
30,43210.56,708,4279.88,6.67,2.0,5.1,43175.79,8,10660.8,Male,Full-Time,Bachelor,Personal,West,Single,2015,36,2015-02-06,0
26,,675,34150.03,14.55,6.0,,3312.62,6,35915.26,Female,Unemployed,High School,Car,West,Married,2015,84,2015-09-06,0
29,,580,20294.17,38.22,5.0,2.8,8031.05,7,10335.64,Female,Part-Time,Bachelor,Medical,Central,Single,2015,84,2015-01-05,1
36,16658.61,612,37473.8,72.75,0.0,21.2,867.67,7,4678.08,Male,Self-Employed,Bachelor,Home,North,Single,2016,48,2016-09-08,1
24,43112.25,616,28073.44,36.12,4.0,1.1,6085.44,1,7432.48,Male,Full-Time,Bachelor,Education,North,Married,2014,36,2014-09-19,1
63,16418.56,813,23690.09,12.11,1.0,,7462.08,2,4155.17,Male,Full-Time,High School,Home,South,,2015,36,2015-05-26,0
34,73767.82,602,7660.21,49.93,3.0,7.3,5700.77,2,18398.73,Male,Self-Employed,Master,Home,South,Single,2017,60,2017-11-21,1
51,26191.84,666,25388.41,74.41,3.0,,652.93,3,6561.54,Male,Retired,Bachelor,Business,West,Married,2011,48,2011-12-03,1
28,55116.02,718,4979.51,41.24,1.0,3.7,451.51,1,10482.94,Female,Unemployed,Bachelor,Business,South,Married,2017,48,2017-10-08,0
30,86848.97,690,11137.08,13.59,5.0,0.3,10869.29,1,19152.81,Male,Part-Time,Bachelor,Education,North,Married,2019,36,2019-03-01,0
68,10832.4,457,5959.64,61.42,0.0,14.9,1154.65,2,2524.43,Male,Part-Time,,Car,East,Married,2010,60,2010-04-02,1
32,30491.26,690,16033.05,17.36,3.0,0.4,1912.76,6,5350.02,Male,Full-Time,High School,Education,North,Single,2022,60,2022-09-11,0
20,19182.63,481,13577.25,43.48,6.0,0.3,7578.74,9,4522.17,Female,Full-Time,High School,Education,West,Married,2019,60,2019-06-02,1
61,41857.0,690,17265.34,38.07,,4.5,715.61,2,,Male,Self-Employed,Master,Business,Central,Divorced,2023,24,2023-10-26,1
55,63512.38,555,11242.35,27.09,1.0,1.7,4044.18,3,11331.62,Male,Part-Time,Bachelor,Personal,East,Divorced,2018,36,2018-09-13,1
38,26477.35,684,39622.3,51.47,5.0,4.6,1890.69,9,5010.41,Female,Full-Time,,Personal,Central,,2013,36,2013-07-09,0
52,17646.77,608,10412.31,31.26,5.0,22.6,2542.51,9,2968.47,Female,Full-Time,,Personal,East,Single,2021,60,2021-10-04,0
35,32863.24,649,5012.37,22.67,3.0,0.6,1578.37,9,7721.94,Non-Binary,Retired,Master,Car,East,,2016,60,2016-05-13,0
31,73717.03,633,8362.33,11.26,2.0,0.1,4290.24,9,14193.72,Non-Binary,Full-Time,,Personal,East,Married,2013,36,2013-07-28,0
47,16166.15,746,11983.16,21.27,1.0,3.6,2617.62,1,2957.57,Male,Self-Employed,Bachelor,Business,East,Married,2018,60,2018-07-28,0
18,38681.69,805,16674.43,56.52,0.0,3.7,29260.16,0,6985.52,Male,Retired,Bachelor,Home,West,Married,2020,48,2020-06-18,0
69,31385.86,687,7885.68,24.79,5.0,14.3,47025.91,0,8355.76,Female,Retired,Master,Business,South,Married,2013,60,2013-03-16,0
39,13524.55,524,24554.99,20.1,5.0,5.2,12741.06,4,4246.07,Male,Full-Time,High School,Personal,South,Married,2019,48,2019-09-13,1
68,45623.28,635,8027.6,11.07,4.0,1.5,3578.17,9,,Male,Full-Time,PhD,Education,Central,Single,2016,84,2016-07-14,1
71,27582.91,746,20423.14,20.64,2.0,11.0,30503.6,4,6596.1,Female,Part-Time,Master,Education,East,Married,2014,60,2014-11-26,0
20,46161.54,608,28855.88,14.11,0.0,18.7,7357.69,6,8213.26,Female,Part-Time,Master,Car,North,Single,2012,36,2012-03-28,0
46,35345.61,842,15537.94,21.17,1.0,3.8,455.01,6,6674.1,Female,Self-Employed,PhD,Medical,Central,Widowed,2015,36,2015-12-23,0
41,48222.5,550,4811.27,9.71,5.0,0.1,,8,14281.51,Male,Unemployed,Master,Car,South,Married,2018,48,2018-02-19,0
22,29550.6,663,96907.86,18.08,4.0,7.7,7744.4,6,9826.94,Female,Self-Employed,PhD,Car,South,Single,2017,48,2017-09-21,1
36,25923.58,807,13526.23,33.01,5.0,1.1,9843.97,9,4695.5,Female,Full-Time,Bachelor,Home,Central,,2022,48,2022-04-11,0
71,34387.39,750,5670.64,43.54,0.0,4.0,13738.63,5,5837.85,Female,Full-Time,,Car,North,Single,2022,36,2022-06-26,0
44,147730.89,679,83158.43,74.4,6.0,4.1,8764.1,2,42810.26,Male,Retired,Bachelor,Home,North,Single,2019,36,2019-09-10,0
43,41752.51,647,23531.39,25.88,5.0,5.8,1448.0,5,12167.46,Female,Full-Time,PhD,Home,West,,2019,48,2019-02-24,0
29,33233.3,674,10219.97,12.22,4.0,11.3,19855.11,3,9322.18,Male,Self-Employed,Master,Car,West,Married,2012,48,2012-11-16,0
62,,768,9862.04,24.27,1.0,2.6,43543.18,4,11290.62,Female,Part-Time,Bachelor,Car,East,Single,2019,84,2019-05-20,0
64,16726.13,646,10387.57,17.61,4.0,3.5,5091.99,2,,Female,Full-Time,,Personal,South,Widowed,2019,48,2019-10-18,0
34,33343.07,711,61615.87,18.09,1.0,8.8,2838.27,2,5923.96,Male,Full-Time,Master,Home,Central,Single,2012,36,2012-06-22,0
39,79673.43,731,6313.57,20.58,5.0,,8984.23,8,20951.16,Female,Full-Time,High School,Home,East,Married,2024,36,2024-12-27,0
63,109844.36,615,8226.91,35.04,0.0,3.7,2492.63,8,,Female,Self-Employed,High School,Business,South,Married,2019,84,2019-12-21,1
52,39443.73,692,15744.25,21.92,1.0,3.9,2053.84,5,,Female,Part-Time,Master,Car,West,Married,2019,60,2019-10-15,0
71,78573.75,682,6875.46,37.62,1.0,,15261.94,0,19709.86,Male,Full-Time,Master,Car,East,Widowed,2021,60,2021-10-16,0
19,92482.71,657,6085.83,12.07,3.0,0.6,10139.24,9,19174.88,Male,Full-Time,Master,Business,North,Married,2016,84,2016-01-02,0
30,96569.93,605,24202.1,40.76,5.0,,12628.12,5,18595.16,Male,Part-Time,Bachelor,Personal,Central,Married,2015,36,2015-06-08,0
30,57834.39,654,5588.89,26.9,1.0,1.1,5488.35,5,12783.7,Female,Retired,Master,Medical,West,Divorced,2023,36,2023-04-07,0
65,29620.55,596,11347.27,40.52,,,449.45,9,6317.99,Male,Full-Time,PhD,Business,Central,Single,2015,60,2015-06-23,1
69,53601.96,600,5597.74,29.24,6.0,23.7,7659.55,7,,Female,Unemployed,,Home,Central,Single,2021,48,2021-01-23,0
32,49202.77,630,24913.09,39.17,3.0,9.6,4814.38,9,10439.18,Male,Full-Time,Master,Home,West,Married,2014,36,2014-08-24,1
66,29003.28,651,6576.15,16.14,6.0,4.2,10095.74,1,6891.11,Male,Full-Time,,Education,Central,Married,2012,60,2012-07-04,0
57,32467.83,680,4107.78,14.69,4.0,3.8,9283.52,0,,Female,Retired,High School,Education,West,Married,2018,60,2018-12-17,0
28,49996.59,469,10487.73,11.75,0.0,0.1,4012.84,1,9899.6,Male,Part-Time,High School,Business,West,Single,2013,36,2013-08-09,1
31,17782.92,609,12109.54,12.78,6.0,5.6,2920.26,9,4544.63,Female,Self-Employed,Bachelor,Home,Central,Married,2018,36,2018-08-11,0
63,48450.95,673,20778.39,24.28,1.0,7.3,17457.42,5,,Male,Full-Time,Bachelor,Personal,Central,Divorced,2012,60,2012-10-25,0
66,,460,42089.82,31.05,3.0,0.2,,2,12087.03,Male,Part-Time,Bachelor,Home,South,Married,2017,36,2017-08-08,1
46,37391.94,589,12469.27,20.02,0.0,2.0,1518.58,7,14278.75,Male,Full-Time,Master,Car,East,Married,2018,60,2018-05-23,0
37,34439.55,729,5585.81,8.71,3.0,0.8,6297.32,2,9881.2,Male,Part-Time,High School,Medical,South,Married,2022,60,2022-09-06,0
35,43452.84,734,8314.17,38.39,5.0,8.8,3211.9,8,10089.5,Male,Unemployed,Master,Home,East,Married,2023,84,2023-10-28,0
33,127302.95,769,14555.43,36.45,2.0,2.4,9938.12,7,37258.67,Female,Full-Time,Bachelor,Car,Central,Married,2023,36,2023-03-07,0
36,76712.44,724,7269.0,37.8,1.0,1.4,7284.82,0,19597.73,Female,Full-Time,Bachelor,Car,North,Married,2018,48,2018-10-02,0
53,36961.46,782,19372.8,29.81,5.0,0.5,466.92,1,,Male,Self-Employed,,Car,North,Married,2018,48,2018-08-16,0
69,75303.31,643,10447.9,8.59,0.0,10.3,,0,22637.61,Male,Full-Time,Bachelor,Personal,South,Single,2022,60,2022-02-03,0
34,23428.18,790,21169.17,15.27,0.0,3.1,2700.66,7,4404.68,Female,Retired,High School,Education,West,Single,2018,48,2018-09-18,0
28,63048.85,779,12863.38,28.73,6.0,4.9,5380.09,6,11748.93,Female,Full-Time,Master,Car,East,Married,2011,36,2011-08-10,0
73,26473.21,636,18750.16,66.24,6.0,4.2,,5,8781.46,Male,Full-Time,High School,Education,West,Married,2017,84,2017-03-09,1
35,65190.08,705,4702.51,39.44,3.0,1.1,823.2,5,15429.08,Female,Retired,High School,Personal,Central,Single,2011,36,2011-02-24,1
20,39784.37,750,20003.72,15.12,1.0,2.3,23362.76,6,9252.6,Male,Full-Time,Bachelor,Business,North,Single,2023,24,2023-12-28,0
68,80936.55,581,74873.87,34.54,6.0,6.4,4300.54,6,27666.76,Male,Self-Employed,Master,Car,South,Single,2021,48,2021-12-05,1
50,82107.16,756,155102.94,42.97,1.0,0.7,2058.07,2,22697.82,Female,Full-Time,,Car,South,Married,2020,60,2020-11-03,0
51,27796.53,586,23740.23,58.07,1.0,,1156.93,6,11066.41,Female,Full-Time,Master,Home,Central,Married,2016,36,2016-09-05,0
40,63139.92,701,9218.38,41.48,4.0,2.9,4583.28,1,14666.87,Male,Part-Time,Master,Home,West,Divorced,2023,24,2023-11-12,0
41,56106.7,602,34474.97,20.89,5.0,2.0,6462.7,7,10470.05,Female,Full-Time,Master,Medical,North,Divorced,2017,84,2017-03-27,1
52,81181.98,702,16520.48,39.52,,3.4,4269.23,0,14243.8,Male,Full-Time,Bachelor,Business,North,Divorced,2010,60,2010-05-09,0
34,183610.05,679,32042.43,18.9,4.0,6.0,879.51,3,46731.54,Male,Retired,,Medical,South,Divorced,2017,36,2017-08-23,0
55,126048.09,609,11220.78,11.35,,1.5,,6,,Male,Unemployed,Bachelor,Personal,Central,Divorced,2014,84,2014-06-17,1
33,51924.97,645,37875.59,51.28,5.0,9.3,2555.68,8,15854.79,Female,Part-Time,Bachelor,Medical,Central,Married,2018,48,2018-04-27,1
20,19379.48,666,10314.01,10.82,5.0,13.9,9763.17,3,3610.02,Male,Full-Time,Bachelor,Personal,North,Single,2024,48,2024-09-10,1
36,62777.23,568,13732.46,29.84,0.0,3.4,,8,,Male,Full-Time,Master,Business,Central,Single,2023,48,2023-11-18,1
47,,543,5882.46,17.53,1.0,9.5,10836.31,4,3659.63,Female,Full-Time,Master,Home,West,Married,2024,36,2024-11-17,0
71,152048.04,493,9358.69,13.15,3.0,25.2,,1,48801.68,Male,Self-Employed,High School,Personal,Central,Single,2015,60,2015-03-03,1
34,58035.66,598,38684.87,46.52,5.0,0.7,16837.04,7,10361.78,Female,Full-Time,Master,Home,North,Married,2021,60,2021-04-23,1
55,30183.52,650,8794.64,13.2,3.0,3.3,3059.92,8,8592.85,Male,Full-Time,High School,Medical,North,Widowed,2023,48,2023-09-04,0
59,,687,13702.17,65.3,0.0,0.9,4628.45,9,11455.64,Female,Self-Employed,Master,Car,East,Single,2020,36,2020-06-21,1
56,24889.39,693,99612.68,51.28,0.0,8.6,1520.88,4,,Female,Full-Time,Master,Business,North,Single,2018,36,2018-11-01,1
57,24779.87,496,21913.21,43.5,6.0,3.4,32550.69,3,4494.2,Female,Full-Time,High School,Car,North,Married,2019,84,2019-06-05,1
64,81688.73,742,2841.49,23.88,0.0,1.2,1664.86,1,27530.34,Female,Self-Employed,Bachelor,Business,South,Divorced,2017,36,2017-08-21,0
58,48015.46,544,6563.3,20.31,1.0,6.4,3877.95,7,9122.9,Female,Full-Time,High School,Home,East,Single,2024,60,2024-07-12,1
65,105587.97,760,41118.61,36.04,0.0,1.3,14725.95,5,21044.28,Male,Full-Time,Bachelor,Home,Central,Divorced,2013,84,2013-10-06,0
37,81837.58,497,7091.63,25.29,3.0,4.1,26413.46,7,19261.82,Male,Part-Time,Master,Car,South,Divorced,2013,36,2013-09-17,1
49,93970.58,521,6142.72,15.57,3.0,5.9,1318.45,0,17958.21,Male,Full-Time,Bachelor,Home,East,Divorced,2013,60,2013-02-17,0
30,91748.92,719,10677.44,17.31,4.0,30.0,11589.56,5,16396.33,Male,Full-Time,,Personal,South,Single,2019,48,2019-11-28,0
68,124891.88,650,10889.98,7.6,4.0,4.1,2532.22,3,,Male,Retired,,Medical,Central,Single,2019,60,2019-06-05,0
32,62263.54,655,7238.51,33.21,5.0,5.3,6400.88,7,24421.55,Female,Part-Time,Bachelor,Medical,North,Married,2018,12,2018-12-05,0
44,29488.25,691,8614.26,18.8,4.0,5.3,3248.7,9,7271.31,Male,Retired,Master,Business,North,Married,2021,36,2021-11-14,0
18,,623,4889.27,24.17,,5.6,12799.32,3,18598.1,Male,Retired,High School,Medical,East,Married,2021,84,2021-04-06,0
21,123597.01,536,2608.01,38.35,1.0,3.1,8929.23,2,40955.28,Female,Part-Time,High School,Car,Central,Married,2015,36,2015-04-22,0
21,167637.66,678,16458.41,52.69,5.0,,4669.38,9,,Female,Full-Time,Bachelor,Personal,West,Single,2021,48,2021-05-18,0
58,58332.25,675,18794.73,18.94,2.0,2.3,6541.91,0,16215.21,Female,Part-Time,Bachelor,Education,East,Single,2013,48,2013-02-21,0
42,71594.55,676,24241.56,36.45,0.0,14.2,6370.37,6,17226.81,Male,Retired,Master,Car,East,Single,2024,36,2024-09-06,0
58,35670.67,611,10499.34,28.08,1.0,0.1,14116.07,0,,Male,Full-Time,Bachelor,Business,North,Single,2017,60,2017-02-12,0
73,92346.46,728,17271.24,13.17,2.0,8.3,3614.6,7,,Male,Part-Time,High School,Personal,East,Divorced,2014,36,2014-01-19,0
33,58995.16,798,23894.16,7.77,1.0,0.7,17986.07,8,12700.42,Female,Full-Time,High School,Personal,East,Married,2023,60,2023-03-25,0
37,76982.13,721,27589.47,23.03,0.0,1.7,41034.59,4,14963.2,Female,Full-Time,,Business,North,Single,2014,24,2014-03-28,1
39,90698.92,557,50879.14,57.13,5.0,2.9,5713.13,6,29964.25,Male,Full-Time,Bachelor,Car,West,Married,2018,48,2018-03-28,1
73,29164.46,594,16979.74,40.69,5.0,0.8,548.32,9,5601.66,Male,Retired,High School,Business,South,Widowed,2020,48,2020-12-27,1
25,43924.55,588,1530.54,26.68,5.0,,6242.19,7,,Male,Unemployed,High School,Home,North,,2019,48,2019-03-25,0
34,64836.46,661,34473.35,38.8,0.0,0.7,10680.17,8,18919.04,Female,Part-Time,High School,Business,South,Divorced,2017,60,2017-07-21,1
40,48289.89,723,38760.33,21.7,4.0,0.8,33654.3,5,15179.74,Male,Self-Employed,,Personal,Central,Married,2023,60,2023-07-02,0
56,93371.15,628,5103.22,42.1,5.0,2.1,2717.35,4,16537.52,Female,Self-Employed,High School,Personal,North,Married,2021,24,2021-01-12,0
55,36882.5,688,4877.62,32.62,1.0,1.5,8405.25,6,7164.59,Female,Unemployed,Bachelor,Education,Central,Divorced,2015,36,2015-11-11,0
